epoch,Train_Loss,Train_dice,Val_Loss,Val_dice,Val_Froc
93,0.5001,0.0,0.5001,0.1575,0.6000000000000009
94,0.5001,0.0,0.5001,0.1575,0.6000000000000009
95,0.5001,0.0,0.5001,0.1575,0.6000000000000009
96,0.5001,0.0,0.5001,0.1575,0.6000000000000009
97,0.5001,0.0,0.5001,0.1575,0.6000000000000009
98,0.5001,0.0,0.5001,0.1575,0.6000000000000009
99,0.5001,0.0,0.5001,0.1575,0.6000000000000009
100,0.5001,0.0,0.5001,0.1575,0.6000000000000009
101,0.5001,0.0,0.5001,0.1575,0.6000000000000009
102,0.5001,0.0,0.5001,0.1575,0.6000000000000009
103,0.5001,0.0,0.5001,0.1575,0.6000000000000009
104,0.5001,0.0,0.5001,0.1575,0.6000000000000009
105,0.5001,0.0,0.5001,0.1575,0.6000000000000009
106,0.5001,0.0,0.5001,0.1575,0.6000000000000009
107,0.5001,0.0,0.5001,0.1575,0.6000000000000009
108,0.5001,0.0,0.5001,0.1575,0.6000000000000009
109,0.5001,0.0,0.5001,0.1575,0.6000000000000009
110,0.5001,0.0,0.5001,0.1575,0.6000000000000009
111,0.5001,0.0,0.5001,0.1575,0.6000000000000009
112,0.5001,0.0,0.5001,0.1575,0.6000000000000009
113,0.5001,0.0,0.5001,0.1575,0.6000000000000009
114,0.5001,0.0,0.5001,0.1575,0.6000000000000009
115,0.5001,0.0,0.5001,0.1575,0.6000000000000009
116,0.5001,0.0,0.5001,0.1575,0.6000000000000009
117,0.5001,0.0,0.5001,0.1575,0.6000000000000009
118,0.5001,0.0,0.5001,0.1575,0.6000000000000009
119,0.5001,0.0,0.5001,0.1575,0.6000000000000009
120,0.5001,0.0,0.5001,0.1575,0.6000000000000009
121,0.5001,0.0,0.5001,0.1575,0.6000000000000009
122,0.5001,0.0,0.5001,0.1575,0.6000000000000009
123,0.5001,0.0,0.5001,0.1575,0.6000000000000009
124,0.5001,0.0,0.5001,0.1575,0.6000000000000009
125,0.5001,0.0,0.5001,0.1575,0.6000000000000009
126,0.5001,0.0,0.5001,0.1575,0.6000000000000009
127,0.5001,0.0,0.5001,0.1575,0.6000000000000009
128,0.5001,0.0,0.5001,0.1575,0.6000000000000009
129,0.5001,0.0,0.5001,0.1575,0.6000000000000009
130,0.5001,0.0,0.5001,0.1575,0.6000000000000009
131,0.5001,0.0,0.5001,0.1575,0.6000000000000009
132,0.5001,0.0,0.5001,0.1575,0.6000000000000009
133,0.5001,0.0,0.5001,0.1575,0.6000000000000009
134,0.5001,0.0,0.5001,0.1575,0.6000000000000009
135,0.5001,0.0,0.5001,0.1575,0.6000000000000009
136,0.5001,0.0,0.5001,0.1575,0.6000000000000009
137,0.5001,0.0,0.5001,0.1575,0.6000000000000009
138,0.5001,0.0,0.5001,0.1575,0.6000000000000009
139,0.5001,0.0,0.5001,0.1575,0.6000000000000009
140,0.5001,0.0,0.5001,0.1575,0.6000000000000009
141,0.5001,0.0,0.5001,0.1575,0.6000000000000009
142,0.5001,0.0,0.5001,0.1575,0.6000000000000009
143,0.5001,0.0,0.5001,0.1575,0.6000000000000009
144,0.5001,0.0,0.5001,0.1575,0.6000000000000009
145,0.5001,0.0,0.5001,0.1575,0.6000000000000009
146,0.5001,0.0,0.5001,0.1575,0.6000000000000009
147,0.5001,0.0,0.5001,0.1575,0.6000000000000009
148,0.5001,0.0,0.5001,0.1575,0.6000000000000009
149,0.5001,0.0,0.5001,0.1575,0.6000000000000009
150,0.5001,0.0,0.5001,0.1575,0.6000000000000009
151,0.5001,0.0,0.5001,0.1575,0.6000000000000009
152,0.5001,0.0,0.5001,0.1575,0.6000000000000009
153,0.5001,0.0,0.5001,0.1575,0.6000000000000009
154,0.5001,0.0,0.5001,0.1575,0.6000000000000009
155,0.5001,0.0,0.5001,0.1575,0.6000000000000009
156,0.5001,0.0,0.5001,0.1575,0.6000000000000009
157,0.5001,0.0,0.5001,0.1575,0.6000000000000009
158,0.5001,0.0,0.5001,0.1575,0.6000000000000009
159,0.5001,0.0,0.5001,0.1575,0.6000000000000009
160,0.5001,0.0,0.5001,0.1575,0.6000000000000009
161,0.5001,0.0,0.5001,0.1575,0.6000000000000009
162,0.5001,0.0,0.5001,0.1575,0.6000000000000009
163,0.5001,0.0,0.5001,0.1575,0.6000000000000009
164,0.5001,0.0,0.5001,0.1575,0.6000000000000009
165,0.5001,0.0,0.5001,0.1575,0.6000000000000009
166,0.5001,0.0,0.5001,0.1575,0.6000000000000009
167,0.5001,0.0,0.5001,0.1575,0.6000000000000009
168,0.5001,0.0,0.5001,0.1575,0.6000000000000009
169,0.5001,0.0,0.5001,0.1575,0.6000000000000009
170,0.5001,0.0,0.5001,0.1575,0.6000000000000009
171,0.5001,0.0,0.5001,0.1575,0.6000000000000009
172,0.5001,0.0,0.5001,0.1575,0.6000000000000009
173,0.5001,0.0,0.5001,0.1575,0.6000000000000009
174,0.5001,0.0,0.5001,0.1575,0.6000000000000009
175,0.5001,0.0,0.5001,0.1575,0.6000000000000009
176,0.5001,0.0,0.5001,0.1575,0.6000000000000009
177,0.5001,0.0,0.5001,0.1575,0.6000000000000009
178,0.5001,0.0,0.5001,0.1575,0.6000000000000009
179,0.5001,0.0,0.5001,0.1575,0.6000000000000009
180,0.5001,0.0,0.5001,0.1575,0.6000000000000009
181,0.5001,0.0,0.5001,0.1575,0.6000000000000009
182,0.5001,0.0,0.5001,0.1575,0.6000000000000009
183,0.5001,0.0,0.5001,0.1575,0.6000000000000009
184,0.5001,0.0,0.5001,0.1575,0.6000000000000009
185,0.5001,0.0,0.5001,0.1575,0.6000000000000009
186,0.5001,0.0,0.5001,0.1575,0.6000000000000009
187,0.5001,0.0,0.5001,0.1575,0.6000000000000009
188,0.5001,0.0,0.5001,0.1575,0.6000000000000009
189,0.5001,0.0,0.5001,0.1575,0.6000000000000009
190,0.5001,0.0,0.5001,0.1575,0.6000000000000009
191,0.5001,0.0,0.5001,0.1575,0.6000000000000009
192,0.5001,0.0,0.5001,0.1575,0.6000000000000009
193,0.5001,0.0,0.5001,0.1575,0.6000000000000009
194,0.5001,0.0,0.5001,0.1575,0.6000000000000009
195,0.5001,0.0,0.5001,0.1575,0.6000000000000009
196,0.5001,0.0,0.5001,0.1575,0.6000000000000009
197,0.5001,0.0,0.5001,0.1575,0.6000000000000009
198,0.5001,0.0,0.5001,0.1575,0.6000000000000009
199,0.5001,0.0,0.5001,0.1575,0.6000000000000009
200,0.5001,0.0,0.5001,0.1575,0.6000000000000009
